Date,gold_price,volatility,tips_yield,inflation,dollar_index
2003-01-02 00:00:00,2043.5,14.1899995803833,2.43,1.98,101.4155
2003-01-03 00:00:00,2043.5,14.1899995803833,2.43,1.96,101.4155
2003-01-06 00:00:00,2043.5,14.1899995803833,2.46,1.95,101.4155
2003-01-07 00:00:00,2043.5,14.1899995803833,2.42,1.96,101.4155
2003-01-08 00:00:00,2043.5,14.1899995803833,2.29,2.09,101.4155
2003-01-09 00:00:00,2043.5,14.1899995803833,2.41,2.15,101.4155
2003-01-10 00:00:00,2043.5,14.1899995803833,2.41,2.1,101.4155
2003-01-13 00:00:00,2043.5,14.1899995803833,2.38,2.14,101.4155
2003-01-14 00:00:00,2043.5,14.1899995803833,2.34,2.14,101.4155
2003-01-15 00:00:00,2043.5,14.1899995803833,2.3,2.19,101.4155
2003-01-16 00:00:00,2043.5,14.1899995803833,2.31,2.18,101.4155
2003-01-17 00:00:00,2043.5,14.1899995803833,2.25,2.15,101.4155
2003-01-20 00:00:00,2043.5,14.1899995803833,2.25,2.15,101.4155
2003-01-21 00:00:00,2043.5,14.1899995803833,2.23,2.18,101.4155
2003-01-22 00:00:00,2043.5,14.1899995803833,2.23,2.1,101.4155
2003-01-23 00:00:00,2043.5,14.1899995803833,2.2,2.14,101.4155
2003-01-24 00:00:00,2043.5,14.1899995803833,2.14,2.14,101.4155
2003-01-27 00:00:00,2043.5,14.1899995803833,2.16,2.17,101.4155
2003-01-28 00:00:00,2043.5,14.1899995803833,2.19,2.15,101.4155
2003-01-29 00:00:00,2043.5,14.1899995803833,2.21,2.18,101.4155
2003-01-30 00:00:00,2043.5,14.1899995803833,2.2,2.14,101.4155
2003-01-31 00:00:00,2043.5,14.1899995803833,2.19,2.13,101.4155
2003-02-03 00:00:00,2043.5,14.1899995803833,2.2,2.1,101.4155
2003-02-04 00:00:00,2043.5,14.1899995803833,2.12,2.14,101.4155
2003-02-05 00:00:00,2043.5,14.1899995803833,2.12,2.19,101.4155
2003-02-06 00:00:00,2043.5,14.1899995803833,2.09,2.14,101.4155
2003-02-07 00:00:00,2043.5,14.1899995803833,2.07,2.18,101.4155
2003-02-10 00:00:00,2043.5,14.1899995803833,2.06,2.2,101.4155
2003-02-11 00:00:00,2043.5,14.1899995803833,2.05,2.24,101.4155
2003-02-12 00:00:00,2043.5,14.1899995803833,2.04,2.18,101.4155
2003-02-13 00:00:00,2043.5,14.1899995803833,2.01,2.2,101.4155
2003-02-14 00:00:00,2043.5,14.1899995803833,2.03,2.22,101.4155
2003-02-17 00:00:00,2043.5,14.1899995803833,2.03,2.22,101.4155
2003-02-18 00:00:00,2043.5,14.1899995803833,2.05,2.15,101.4155
2003-02-19 00:00:00,2043.5,14.1899995803833,1.99,2.16,101.4155
2003-02-20 00:00:00,2043.5,14.1899995803833,1.91,2.19,101.4155
2003-02-21 00:00:00,2043.5,14.1899995803833,1.93,2.21,101.4155
2003-02-24 00:00:00,2043.5,14.1899995803833,1.87,2.2,101.4155
2003-02-25 00:00:00,2043.5,14.1899995803833,1.84,2.17,101.4155
2003-02-26 00:00:00,2043.5,14.1899995803833,1.84,2.14,101.4155
2003-02-27 00:00:00,2043.5,14.1899995803833,1.82,2.11,101.4155
2003-02-28 00:00:00,2043.5,14.1899995803833,1.77,2.13,101.4155
2003-03-03 00:00:00,2043.5,14.1899995803833,1.77,2.09,101.4155
2003-03-04 00:00:00,2043.5,14.1899995803833,1.77,2.04,101.4155
2003-03-05 00:00:00,2043.5,14.1899995803833,1.75,2.08,101.4155
2003-03-06 00:00:00,2043.5,14.1899995803833,1.74,2.13,101.4155
2003-03-07 00:00:00,2043.5,14.1899995803833,1.72,2.08,101.4155
2003-03-10 00:00:00,2043.5,14.1899995803833,1.69,2.08,101.4155
2003-03-11 00:00:00,2043.5,14.1899995803833,1.68,2.08,101.4155
2003-03-12 00:00:00,2043.5,14.1899995803833,1.68,2.05,101.4155
2003-03-13 00:00:00,2043.5,14.1899995803833,1.73,2.15,101.4155
2003-03-14 00:00:00,2043.5,14.1899995803833,1.89,2.09,101.4155
2003-03-17 00:00:00,2043.5,14.1899995803833,1.97,2.03,101.4155
2003-03-18 00:00:00,2043.5,14.1899995803833,2.08,2.03,101.4155
2003-03-19 00:00:00,2043.5,14.1899995803833,2.15,2.07,101.4155
2003-03-20 00:00:00,2043.5,14.1899995803833,2.2,1.95,101.4155
2003-03-21 00:00:00,2043.5,14.1899995803833,2.29,1.94,101.4155
2003-03-24 00:00:00,2043.5,14.1899995803833,2.18,1.94,101.4155
2003-03-25 00:00:00,2043.5,14.1899995803833,2.17,1.96,101.4155
2003-03-26 00:00:00,2043.5,14.1899995803833,2.15,1.97,101.4155
2003-03-27 00:00:00,2043.5,14.1899995803833,2.1,1.99,101.4155
2003-03-28 00:00:00,2043.5,14.1899995803833,2.09,1.94,101.4155
2003-03-31 00:00:00,2043.5,14.1899995803833,2.03,1.95,101.4155
2003-04-01 00:00:00,2043.5,14.1899995803833,2.02,2.0,101.4155
2003-04-02 00:00:00,2043.5,14.1899995803833,2.11,2.0,101.4155
2003-04-03 00:00:00,2043.5,14.1899995803833,2.12,1.98,101.4155
2003-04-04 00:00:00,2043.5,14.1899995803833,2.16,1.97,101.4155
2003-04-07 00:00:00,2043.5,14.1899995803833,2.21,2.03,101.4155
2003-04-08 00:00:00,2043.5,14.1899995803833,2.18,1.97,101.4155
2003-04-09 00:00:00,2043.5,14.1899995803833,2.13,2.05,101.4155
2003-04-10 00:00:00,2043.5,14.1899995803833,2.16,1.94,101.4155
